date,dataset_name,using_raw_features,iim_name,cloud_models,triangulation_method,triangulation_samples,dataset_size,k_fold_0_acc,k_fold_1_acc,k_fold_2_acc,k_fold_0_auc,k_fold_1_auc,k_fold_2_auc,triangulation_embedding,triangulation_mode
21/12/2025 22:59,magic,True,lstm,['xception'],kmeans,2,1,0.6598,0.6567,0.6588,0.7115,0.7125,0.7125,clip,concat
21/12/2025 23:18,magic,True,dense,['xception'],kmeans,2,1,0.6588,0.6667,0.6609,0.7032,0.7066,0.6989,clip,concat
22/12/2025 00:07,magic,True,transformer,['xception'],kmeans,2,1,0.6588,0.6604,0.6698,0.7116,0.7067,0.7101,clip,concat
23/12/2025 17:12,magic,True,entropy_aware,[],kmeans,2,1,0.6725,0.6719,0.6751,0.7423,0.7441,0.7429,dino,cos
23/12/2025 17:33,magic,True,gated,[],kmeans,2,1,0.6746,0.6735,0.673,0.7427,0.7425,0.7429,dino,cos
23/12/2025 17:12,magic,True,entropy_aware,[],kmeans,2,1,0.6598,0.6593,0.6583,0.7136,0.7152,0.7105,dino,diff
23/12/2025 17:34,magic,True,gated,[],kmeans,2,1,0.6703,0.6588,0.6646,0.7213,0.7117,0.7174,dino,diff
23/12/2025 17:13,magic,True,entropy_aware,['xception'],kmeans,2,1,0.664,0.6646,0.6604,0.7121,0.7178,0.7112,dino,diff
23/12/2025 17:37,magic,True,gated,['xception'],kmeans,2,1,0.6609,0.6567,0.6567,0.7136,0.7115,0.7154,dino,diff
23/12/2025 17:13,magic,True,entropy_aware,['xception'],kmeans,2,1,0.6656,0.6667,0.6661,0.7354,0.7353,0.7353,dino,cos
23/12/2025 17:38,magic,True,gated,['xception'],kmeans,2,1,0.664,0.6651,0.6651,0.7343,0.7364,0.7341,dino,cos
30/12/2025 15:59,magic,False,lstm,[],gfps,2,1,0.6562,0.6572,0.6598,0.6904,0.6923,0.6933,dino,diff
30/12/2025 16:12,magic,False,dense,[],gfps,2,1,0.653,0.6498,0.6551,0.6815,0.6716,0.681,dino,diff
30/12/2025 16:51,magic,False,transformer,[],gfps,2,1,0.6498,0.6493,0.6514,0.6665,0.6615,0.6634,dino,diff
30/12/2025 17:08,magic,False,entropy_aware,[],gfps,2,1,0.6519,0.6551,0.6514,0.683,0.6805,0.6795,dino,diff
30/12/2025 17:24,magic,False,gated,[],gfps,2,1,0.6488,0.6551,0.6562,0.6805,0.6773,0.6893,dino,diff
30/12/2025 15:59,magic,True,lstm,[],gfps,2,1,0.6714,0.6725,0.6661,0.7067,0.71,0.7072,dino,diff
30/12/2025 16:16,magic,True,dense,[],gfps,2,1,0.6441,0.6493,0.6672,0.6728,0.6726,0.6963,dino,diff
30/12/2025 17:06,magic,True,transformer,[],gfps,2,1,0.6467,0.6572,0.6414,0.6923,0.6952,0.69,dino,diff
30/12/2025 17:27,magic,True,entropy_aware,[],gfps,2,1,0.6567,0.6619,0.6588,0.6753,0.6942,0.6915,dino,diff
30/12/2025 17:49,magic,True,gated,[],gfps,2,1,0.6572,0.653,0.6646,0.6847,0.6763,0.6945,dino,diff
30/12/2025 16:36,magic,True,lstm,['xception'],gfps,2,1,0.6577,0.6577,0.6698,0.7049,0.7081,0.7142,dino,diff
30/12/2025 16:53,magic,True,dense,['xception'],gfps,2,1,0.6598,0.6498,0.6604,0.6839,0.6754,0.6822,dino,diff
30/12/2025 17:39,magic,True,transformer,['xception'],gfps,2,1,0.6493,0.6546,0.6493,0.7023,0.6986,0.697,dino,diff
30/12/2025 18:00,magic,True,entropy_aware,['xception'],gfps,2,1,0.6562,0.654,0.6467,0.7019,0.6883,0.6822,dino,diff
30/12/2025 18:22,magic,True,gated,['xception'],gfps,2,1,0.6646,0.6525,0.6567,0.6986,0.6978,0.7007,dino,diff
30/12/2025 17:01,magic,False,lstm,['xception'],gfps,2,1,0.6577,0.6556,0.6593,0.6904,0.6895,0.6898,dino,diff
30/12/2025 17:18,magic,False,dense,['xception'],gfps,2,1,0.6493,0.6504,0.6551,0.6751,0.6806,0.6798,dino,diff
30/12/2025 18:05,magic,False,transformer,['xception'],gfps,2,1,0.6483,0.6488,0.6493,0.6616,0.6618,0.6601,dino,diff
30/12/2025 18:27,magic,False,entropy_aware,['xception'],gfps,2,1,0.6614,0.6583,0.6583,0.6844,0.6853,0.6794,dino,diff
30/12/2025 18:50,magic,False,gated,['xception'],gfps,2,1,0.6551,0.6598,0.6609,0.6819,0.6857,0.6845,dino,diff
30/12/2025 17:59,magic,False,lstm,[],gfps,4,1,0.6514,0.6551,0.6546,0.6838,0.6795,0.6832,dino,diff
30/12/2025 18:19,magic,False,dense,[],gfps,4,1,0.6309,0.6304,0.6346,0.658,0.651,0.6565,dino,diff
30/12/2025 19:11,magic,False,transformer,[],gfps,4,1,0.6483,0.6483,0.6483,0.6517,0.6539,0.6524,dino,diff
30/12/2025 19:35,magic,False,entropy_aware,[],gfps,4,1,0.6504,0.6535,0.6498,0.6726,0.6754,0.685,dino,diff
30/12/2025 19:58,magic,False,gated,[],gfps,4,1,0.6488,0.6498,0.6525,0.6853,0.6723,0.678,dino,diff
30/12/2025 18:31,magic,False,lstm,['xception'],gfps,4,1,0.6535,0.6535,0.6535,0.6888,0.6906,0.69,dino,diff
30/12/2025 18:50,magic,False,dense,['xception'],gfps,4,1,0.6472,0.6404,0.6404,0.6638,0.663,0.6623,dino,diff
30/12/2025 19:42,magic,False,transformer,['xception'],gfps,4,1,0.6477,0.6483,0.6483,0.6524,0.6506,0.6483,dino,diff
30/12/2025 20:06,magic,False,entropy_aware,['xception'],gfps,4,1,0.6525,0.6467,0.6493,0.6832,0.6627,0.6758,dino,diff
30/12/2025 20:32,magic,False,gated,['xception'],gfps,4,1,0.6567,0.6514,0.6498,0.6862,0.6803,0.6732,dino,diff
30/12/2025 18:02,magic,True,lstm,[],gfps,4,1,0.6435,0.6577,0.6399,0.6943,0.6991,0.6846,dino,diff
30/12/2025 18:21,magic,True,dense,[],gfps,4,1,0.6409,0.6341,0.642,0.6752,0.6723,0.6696,dino,diff
30/12/2025 19:21,magic,True,transformer,[],gfps,4,1,0.6646,0.6625,0.6535,0.7065,0.7015,0.7002,dino,diff
30/12/2025 20:02,magic,True,entropy_aware,[],gfps,4,1,0.6172,0.6462,0.6362,0.6439,0.6685,0.6605,dino,diff
30/12/2025 20:44,magic,True,gated,[],gfps,4,1,0.6372,0.6346,0.6251,0.6581,0.6616,0.6466,dino,diff
30/12/2025 18:57,magic,True,lstm,['xception'],gfps,4,1,0.643,0.6472,0.6425,0.6938,0.6975,0.6901,dino,diff
30/12/2025 19:18,magic,True,dense,['xception'],gfps,4,1,0.6199,0.6425,0.6283,0.6475,0.6696,0.6614,dino,diff
30/12/2025 20:16,magic,True,transformer,['xception'],gfps,4,1,0.6551,0.6567,0.6556,0.7123,0.7035,0.6993,dino,diff
30/12/2025 20:43,magic,True,entropy_aware,['xception'],gfps,4,1,0.6325,0.6456,0.6304,0.6593,0.6774,0.664,dino,diff
30/12/2025 21:13,magic,True,gated,['xception'],gfps,4,1,0.6409,0.6314,0.6409,0.6747,0.6571,0.6619,dino,diff
31/12/2025 21:30,magic,True,lstm,[],gfps,4,3,0.653,0.6456,0.6535,0.6903,0.6905,0.6878,dino,diff
31/12/2025 22:22,magic,True,dense,[],gfps,4,3,0.6425,0.653,0.6388,0.6795,0.6852,0.6857,dino,diff
01/01/2026 00:43,magic,True,transformer,[],gfps,4,3,0.6614,0.6688,0.6577,0.7192,0.7134,0.7154,dino,diff
01/01/2026 01:47,magic,True,entropy_aware,[],gfps,4,3,0.6525,0.6414,0.6446,0.6754,0.6576,0.6741,dino,diff
01/01/2026 02:51,magic,True,gated,[],gfps,4,3,0.6441,0.6451,0.6304,0.6652,0.6675,0.6679,dino,diff
31/12/2025 21:44,magic,False,lstm,[],gfps,4,3,0.6751,0.6746,0.6751,0.7009,0.7001,0.7011,dino,diff
31/12/2025 22:38,magic,False,dense,[],gfps,4,3,0.6625,0.663,0.6588,0.6832,0.6776,0.6759,dino,diff
01/01/2026 01:08,magic,False,transformer,[],gfps,4,3,0.6483,0.6488,0.6483,0.6591,0.6563,0.6563,dino,diff
01/01/2026 02:15,magic,False,entropy_aware,[],gfps,4,3,0.6703,0.6656,0.6688,0.6837,0.6862,0.6849,dino,diff
01/01/2026 03:23,magic,False,gated,[],gfps,4,3,0.6698,0.6682,0.6688,0.6953,0.6837,0.6881,dino,diff
01/01/2026 00:52,magic,False,lstm,[],gfps,2,3,0.6656,0.6709,0.6646,0.6925,0.6929,0.6929,dino,diff
01/01/2026 01:39,magic,False,dense,[],gfps,2,3,0.664,0.664,0.6625,0.6946,0.6911,0.6936,dino,diff
01/01/2026 03:50,magic,False,transformer,[],gfps,2,3,0.6493,0.6519,0.6514,0.6682,0.6603,0.6626,dino,diff
01/01/2026 04:47,magic,False,entropy_aware,[],gfps,2,3,0.6667,0.6656,0.6625,0.6913,0.688,0.6877,dino,diff
01/01/2026 05:45,magic,False,gated,[],gfps,2,3,0.6667,0.6646,0.6688,0.688,0.6853,0.6889,dino,diff
01/01/2026 05:45,magic,True,lstm,[],gfps,2,3,0.6567,0.6556,0.673,0.7017,0.7108,0.713,dino,diff
01/01/2026 07:28,magic,True,dense,[],gfps,2,3,0.6598,0.6667,0.6688,0.6885,0.6915,0.6959,dino,diff
04/01/2026 14:49,magic,True,lstm,[],gfps,2,1,0.6556,0.6656,0.6667,0.717,0.7194,0.7262,dino,diff
04/01/2026 15:05,magic,True,dense,[],gfps,2,1,0.6635,0.6451,0.6462,0.701,0.6896,0.6899,dino,diff
04/01/2026 15:51,magic,True,transformer,[],gfps,2,1,0.6609,0.6588,0.6567,0.7033,0.6975,0.7027,dino,diff
04/01/2026 16:11,magic,True,entropy_aware,[],gfps,2,1,0.6604,0.6593,0.6583,0.7152,0.7014,0.7039,dino,diff
04/01/2026 16:32,magic,True,gated,[],gfps,2,1,0.6593,0.6625,0.6572,0.7115,0.7045,0.7049,dino,diff
04/01/2026 16:39,magic,False,lstm,[],gfps,2,1,0.654,0.6551,0.6567,0.6915,0.6926,0.6936,dino,diff
04/01/2026 16:57,magic,False,dense,[],gfps,2,1,0.6356,0.6304,0.6356,0.6638,0.6656,0.6716,dino,diff
04/01/2026 17:45,magic,False,transformer,[],gfps,2,1,0.6488,0.6483,0.6483,0.6623,0.6629,0.663,dino,diff
04/01/2026 18:07,magic,False,entropy_aware,[],gfps,2,1,0.6514,0.6519,0.6504,0.6769,0.6832,0.6869,dino,diff
04/01/2026 18:28,magic,False,gated,[],gfps,2,1,0.6493,0.6446,0.6514,0.6751,0.677,0.6809,dino,diff
07/01/2026 09:48,magic,False,lstm,[],gfps,2,1,0.6551,0.6577,0.6556,0.6902,0.6917,0.6926,dino,diff
07/01/2026 10:04,magic,False,dense,[],gfps,2,1,0.6388,0.6367,0.6288,0.6651,0.669,0.6636,dino,diff
07/01/2026 10:49,magic,False,transformer,[],gfps,2,1,0.6504,0.6483,0.6493,0.6629,0.6567,0.6622,dino,diff
07/01/2026 11:09,magic,False,entropy_aware,[],gfps,2,1,0.6509,0.6472,0.6488,0.6835,0.6797,0.6805,dino,diff
07/01/2026 11:30,magic,False,gated,[],gfps,2,1,0.6504,0.6462,0.6504,0.6823,0.6724,0.68,dino,diff
07/01/2026 09:46,magic,True,lstm,[],gfps,2,1,0.6635,0.6635,0.6598,0.7254,0.7224,0.7188,dino,diff
07/01/2026 10:03,magic,True,dense,[],gfps,2,1,0.6619,0.654,0.6567,0.6962,0.6976,0.6977,dino,diff
07/01/2026 10:49,magic,True,transformer,[],gfps,2,1,0.6567,0.664,0.6588,0.7075,0.7138,0.7123,dino,diff
07/01/2026 11:11,magic,True,entropy_aware,[],gfps,2,1,0.6525,0.6588,0.663,0.6994,0.6992,0.7076,dino,diff
07/01/2026 11:33,magic,True,gated,[],gfps,2,1,0.6525,0.6567,0.653,0.6977,0.711,0.6996,dino,diff
09/01/2026 17:29,magic,True,lstm,[],gfps,2,1,0.6682,0.6635,0.6646,0.7239,0.7222,0.7205,dino,diff
09/01/2026 17:46,magic,True,dense,[],gfps,2,1,0.6577,0.653,0.6604,0.6982,0.697,0.6982,dino,diff
09/01/2026 18:31,magic,True,transformer,[],gfps,2,1,0.6567,0.6614,0.6651,0.6987,0.7132,0.705,dino,diff
09/01/2026 18:52,magic,True,entropy_aware,[],gfps,2,1,0.6604,0.6609,0.6556,0.7017,0.7107,0.7015,dino,diff
09/01/2026 19:12,magic,True,gated,[],gfps,2,1,0.6583,0.6572,0.6488,0.7043,0.6997,0.7013,dino,diff
09/01/2026 17:43,magic,False,lstm,[],gfps,2,1,0.6583,0.6551,0.6562,0.693,0.6912,0.692,dino,diff
09/01/2026 18:00,magic,False,dense,[],gfps,2,1,0.6341,0.6388,0.6404,0.6671,0.6651,0.6636,dino,diff
09/01/2026 18:45,magic,False,transformer,[],gfps,2,1,0.6483,0.6483,0.6483,0.6585,0.6559,0.6595,dino,diff
09/01/2026 19:06,magic,False,entropy_aware,[],gfps,2,1,0.6472,0.6535,0.6472,0.6764,0.6768,0.6746,dino,diff
09/01/2026 19:26,magic,False,gated,[],gfps,2,1,0.6498,0.6472,0.6493,0.6834,0.6777,0.6816,dino,diff
09/01/2026 20:28,magic,False,lstm,['xception'],gfps,2,1,0.6572,0.6572,0.6577,0.6909,0.6933,0.6911,dino,diff
09/01/2026 20:45,magic,False,dense,['xception'],gfps,2,1,0.6462,0.6456,0.6367,0.6749,0.673,0.6751,dino,diff
09/01/2026 21:34,magic,False,transformer,['xception'],gfps,2,1,0.6483,0.6483,0.6483,0.6522,0.6579,0.6602,dino,diff
09/01/2026 21:54,magic,False,entropy_aware,['xception'],gfps,2,1,0.6572,0.6567,0.653,0.6876,0.685,0.6847,dino,diff
09/01/2026 22:17,magic,False,gated,['xception'],gfps,2,1,0.6525,0.643,0.6583,0.6851,0.6739,0.6873,dino,diff
09/01/2026 21:10,magic,True,lstm,['xception'],gfps,2,1,0.674,0.674,0.664,0.7219,0.7187,0.7271,dino,diff
09/01/2026 21:33,magic,True,dense,['xception'],gfps,2,1,0.6619,0.6593,0.6593,0.7024,0.6975,0.7001,dino,diff
09/01/2026 22:30,magic,True,transformer,['xception'],gfps,2,1,0.6661,0.6672,0.6604,0.7194,0.7126,0.71,dino,diff
09/01/2026 22:59,magic,True,entropy_aware,['xception'],gfps,2,1,0.6677,0.6782,0.6735,0.7142,0.7179,0.7149,dino,diff
09/01/2026 23:30,magic,True,gated,['xception'],gfps,2,1,0.6703,0.6703,0.6661,0.7151,0.7114,0.7129,dino,diff
